Zeitstempel;Market/contact;norm_name;Filename;Assessed level;Date of pic;Time;Skip #;;;;;;
10.01.2023 17:04;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-09-30 at 10.20.18.jpg;Ambiguous/not overflowing;30.09.2023;10:20:00;;;;;;;
10.01.2023 17:06;Blantyre Flea Market;blantyre flea market;WhatsApp Image 2023-09-30 at 10.25.05.jpg;5;30.09.2023;10:25:00;;;;;;;
10.01.2023 17:07;Mibawa;mibawa;WhatsApp Image 2023-09-30 at 10.25.34.jpg;3;30.09.2023;10:25:00;;;;;;;
10.01.2023 17:08;Blantyre;blantyre produce market;WhatsApp Image 2023-09-30 at 09.41.03.jpg;5;30.09.2023;09:41:00;;;;;;;
10.01.2023 17:12;Nkolokoti;nkolokoti;WhatsApp Image 2023-09-30 at 14.10.57.jpg;5;29.09.2023;13:39:00;;;;;;;
10.01.2023 17:13;Nkolokoti;nkolokoti;WhatsApp Image 2023-09-30 at 14.10.57.jpg;5;30.09.2023;14:10:00;;;;;;;
10.01.2023 17:16;South Lunzu;south lunzu;WhatsApp Image 2023-09-30 at 08.45.26.jpg;4;30.09.2023;08:45:00;;;;;;;
10.01.2023 17:17;South Lunzu;south lunzu;WhatsApp Image 2023-09-30 at 17.00.07.jpg;4;30.09.2023;17:00:00;;;;;;;
10.01.2023 17:18;Kachere;kachere;WhatsApp Image 2023-09-30 at 11.03.00.jpg;3;30.09.2023;11:03:00;;;;;;;
10.01.2023 17:19;Nthukwa;nthukwa;WhatsApp Image 2023-09-30 at 05.49.10.jpg;Ambiguous/not overflowing;30.09.2023;05:49:00;;;;;;;
10.01.2023 17:19;Nthukwa;nthukwa;WhatsApp Image 2023-10-01 at 05.48.44.jpg;Ambiguous/not overflowing;01.10.2023;05:48:00;;;;;;;
10.01.2023 17:20;Blantyre;blantyre produce market;WhatsApp Image 2023-09-30 at 09.41.03.jpg;5;30.09.2023;09:41:00;;;;;;;
10.01.2023 18:53;Nthukwa;nthukwa;WhatsApp Image 2023-10-01 at 17.32.17.jpg;Ambiguous/not overflowing;01.10.2023;17:32:00;;;;;;;
10.02.2023 20:54;Chemusa;chemusa;WhatsApp Image 2023-10-02 at 09.18.28.jpg;3;02.10.2023;09:18:00;;;;;;;
10.02.2023 20:55;Nthukwa;nthukwa;WhatsApp Image 2023-10-02 at 06.14.28.jpg;Ambiguous/not overflowing;02.10.2023;06:14:00;;;;;;;
10.02.2023 20:56;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-02 at 08.09.39.jpg;3;02.10.2023;08:09:00;;;;;;;
10.02.2023 20:57;Manase;manase;WhatsApp Image 2023-10-02 at 08.30.18.jpg;4;02.10.2023;08:30:00;;;;;;;
10.02.2023 20:59;Zingwangwa waterboard;zingwangwa waterboard;WhatsApp Image 2023-10-02 at 11.40.17.jpg;3;02.10.2023;11:40:00;;;;;;;
10.02.2023 20:59;Blantyre;blantyre produce market;WhatsApp Image 2023-10-02 at 08.01.31.jpg;5;02.10.2023;08:01:00;;;;;;;
10.02.2023 21:00;Ndirande;ndirande;WhatsApp Image 2023-10-02 at 12.17.23.jpg;4;02.10.2023;12:17:00;1;;;;;;
10.02.2023 21:01;Ndirande;ndirande;WhatsApp Image 2023-10-02 at 12.17.23.jpg;Ambiguous/not overflowing;02.10.2023;12:17:00;2;;;;;;
10.02.2023 21:02;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-02 at 08.27.23.jpg;1;02.10.2023;08:27:00;;;;;;;
10.02.2023 21:03;ITG;ITG;WhatsApp Image 2023-10-02 at 12.35.50.jpg;4;02.10.2023;12:35:00;1;;;;;;
10.02.2023 21:03;ITG;ITG;WhatsApp Image 2023-10-02 at 12.35.50.jpg;3;02.10.2023;12:35:00;2;;;;;;
10.02.2023 21:04;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-10-02 at 12.48.34.jpg;4;02.10.2023;12:48:00;;;;;;;
10.02.2023 21:05;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-02 at 12.53.33.jpg;5;02.10.2023;12:53:00;1;;;;;;
10.02.2023 21:05;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-02 at 12.53.33.jpg;5;02.10.2023;12:53:00;2;;;;;;
10.02.2023 21:06;Limbe flea market;limbe flea market;WhatsApp Image 2023-10-02 at 13.18.10.jpg;5;02.10.2023;13:18:00;;;;;;;
10.02.2023 21:07;Kachere;kachere;WhatsApp Image 2023-10-02 at 08.44.38.jpg;4;02.10.2023;08:44:00;;;;;;;
10.02.2023 21:08;Kachere;kachere;WhatsApp Image 2023-10-02 at 16.40.46.jpg;4;02.10.2023;16:40:00;;;;;;;
10.02.2023 21:09;South Lunzu;south lunzu;WhatsApp Image 2023-10-02 at 16.02.48.jpg;4;02.10.2023;16:02:00;;;;;;;
10.02.2023 21:09;Kachere;kachere;WhatsApp Image 2023-10-02 at 08.40.05.jpg;4;02.10.2023;08:40:00;;;;;;;
10.02.2023 21:12;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-02 at 09.17.06.jpg;4;02.10.2023;09:17:00;;;;;;;
10.02.2023 21:13;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-02 at 19.30.31.jpg;4;02.10.2023;17:00:00;;;;;;;
10.02.2023 21:18;Blantyre Flea Market;blantyre flea market;WhatsApp Image 2023-10-02 at 13.33.59.jpg;1;02.10.2023;13:33:00;;;;;;;
10.02.2023 21:19;Mibawa;mibawa;WhatsApp Image 2023-10-02 at 13.34.19.jpg;Ambiguous/not overflowing;02.10.2023;13:34:00;;;;;;;
10.02.2023 21:19;Mibawa;mibawa;WhatsApp Image 2023-10-02 at 19.49.47.jpg;4;02.10.2023;17:00:00;;;;;;;
10.02.2023 21:20;Blantyre Flea Market;blantyre flea market;WhatsApp Image 2023-10-02 at 19.50.00.jpg;Ambiguous/not overflowing;02.10.2023;17:00:00;;;;;;;
10.03.2023 13:38;Nthukwa;nthukwa;WhatsApp Image 2023-10-03 at 05.53.18_05db5a86.jpg;Ambiguous/not overflowing;03.10.2023;05:53:00;;;;;;;
10.03.2023 13:40;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-03 at 06.07.54_ea79e7f4.jpg;2;03.10.2023;06:07:00;;;;;;;
10.03.2023 13:41;Mibawa;mibawa;WhatsApp Image 2023-10-03 at 07.27.45_4fe09cfa.jpg;4;03.10.2023;07:27:00;;;;;;;
10.03.2023 13:42;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-03 at 09.03.53_c03b3199.jpg;3;03.10.2023;09:03:00;;;;;;;
10.03.2023 13:43;Blantyre;blantyre produce market;WhatsApp Image 2023-10-03 at 09.14.30_7ea45b0b.jpg;3;03.10.2023;09:14:00;;;;;;;
10.03.2023 13:44;Kachere;kachere;WhatsApp Image 2023-10-03 at 11.43.20_beb70da0.jpg;4;03.10.2023;11:48:00;;;;;;;
10.03.2023 13:49;South Lunzu;south lunzu;WhatsApp Image 2023-10-03 at 13.44.48_694509ae.jpg;5;03.10.2023;08:14:00;;;;;;;
10.05.2023 09:50;Ndirande;ndirande;WhatsApp Image 2023-10-04 at 10.50.47_c2c701a2.jpg;5;04.10.2023;10:50:00;1;;;;;;
10.05.2023 09:50;Ndirande;ndirande;WhatsApp Image 2023-10-04 at 10.51.13_1105b20f.jpg;5;04.10.2023;10:50:00;2;;;;;;
10.05.2023 09:51;Limbe flea market;limbe flea market;WhatsApp Image 2023-10-04 at 09.41.48_37e4ee54.jpg;5;04.10.2023;09:41:00;;;;;;;
10.05.2023 09:52;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-04 at 09.55.24_93a7c763.jpg;5;04.10.2023;09:55:00;1;;;;;;
10.05.2023 09:53;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-04 at 09.55.24_c0e6368d.jpg;5;04.10.2023;09:55:00;2;;;;;;
10.05.2023 09:54;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-10-04 at 10.01.20_28cfbe9e.jpg;Ambiguous/not overflowing;04.10.2023;10:01:00;;;;;;;
10.05.2023 09:54;ITG;ITG;WhatsApp Image 2023-10-04 at 10.13.35_4a3a4da9.jpg;4;04.10.2023;10:13:00;1;;;;;;
10.05.2023 09:55;ITG;ITG;WhatsApp Image 2023-10-04 at 10.13.35_77183293.jpg;4;04.10.2023;10:13:00;2;;;;;;
10.05.2023 09:57;Zingwangwa waterboard;zingwangwa waterboard;WhatsApp Image 2023-10-04 at 08.57.15_80f95a9c.jpg;5;04.10.2023;08:57:00;;;;;;;
10.05.2023 10:12;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-03 at 17.29.03_84a7591d.jpg;5;03.10.2023;17:29:00;;;;;;;
10.05.2023 10:13;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-04 at 14.03.52_a71e08be.jpg;5;04.10.2023;14:03:00;;;;;;;
10.05.2023 10:15;Chemusa;chemusa;WhatsApp Image 2023-10-03 at 17.44.07_87b0ade8.jpg;5;03.10.2023;17:44:00;;;;;;;
10.05.2023 10:17;Chemusa;chemusa;WhatsApp Image 2023-10-05 at 10.15.49_cdde7cf3.jpg;1;04.10.2023;17:07:00;;;;;;;
10.05.2023 10:18;South Lunzu;south lunzu;WhatsApp Image 2023-10-03 at 17.51.05_8e5a48db.jpg;5;03.10.2023;17:51:00;;;;;;;
10.05.2023 10:19;South Lunzu;south lunzu;WhatsApp Image 2023-10-04 at 08.32.33_0c2b6430.jpg;5;04.10.2023;08:32:00;;;;;;;
10.05.2023 10:20;South Lunzu;south lunzu;WhatsApp Image 2023-10-04 at 17.56.05_8979c764.jpg;5;04.10.2023;17:56:00;;;;;;;
10.05.2023 10:22;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-05 at 10.21.07_56dd862e.jpg;3;03.10.2023;14:05:00;;;;;;;
10.05.2023 10:23;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-05 at 10.21.20_47cbdbfb.jpg;4;04.10.2023;10:02:00;;;;;;;
10.05.2023 10:24;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-04 at 09.47.59_41bf9bc6.jpg;5;04.10.2023;09:47:00;;;;;;;
10.05.2023 10:26;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-10-04 at 11.29.14_2539f03b.jpg;Ambiguous/not overflowing;04.10.2023;11:29:00;;;;;;;
10.05.2023 10:27;Nthukwa;nthukwa;WhatsApp Image 2023-10-04 at 06.06.06_e963b9f8.jpg;3;04.10.2023;06:06:00;;;;;;;
10.05.2023 10:28;Nthukwa;nthukwa;WhatsApp Image 2023-10-05 at 05.36.51_03790758.jpg;Ambiguous/not overflowing;05.10.2023;05:36:00;;;;;;;
10.05.2023 10:28;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-04 at 08.29.27_d5612dfb.jpg;3;04.10.2023;08:29:00;;;;;;;
10.05.2023 10:29;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-05 at 07.46.22_62502eed.jpg;3;05.10.2023;07:46:00;;;;;;;
10.05.2023 10:30;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-04 at 09.53.37_7d9ff4f4.jpg;3;04.10.2023;09:53:00;;;;;;;
10.05.2023 10:31;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-05 at 08.11.44_65e859df.jpg;4;05.10.2023;08:11:00;;;;;;;
10.05.2023 10:32;Mibawa;mibawa;WhatsApp Image 2023-10-05 at 09.19.55_590a0e4c.jpg;5;05.10.2023;09:19:00;;;;;;;
10.05.2023 10:33;Blantyre Flea Market;blantyre flea market;WhatsApp Image 2023-10-05 at 09.25.05_86eee068.jpg;5;05.10.2023;09:25:00;;;;;;;
10.05.2023 10:34;Blantyre;blantyre produce market;WhatsApp Image 2023-10-05 at 10.33.46_e35d637f.jpg;4;04.10.2023;09:58:00;;;;;;;
10.05.2023 10:34;Blantyre;blantyre produce market;WhatsApp Image 2023-10-05 at 08.29.55_00d273a3.jpg;4;05.10.2023;08:29:00;;;;;;;
10.05.2023 10:36;Kachere;kachere;WhatsApp Image 2023-10-03 at 16.20.36_fc6f5b8c.jpg;4;03.10.2023;16:20:00;;;;;;;
10.05.2023 10:36;Kachere;kachere;WhatsApp Image 2023-10-04 at 08.52.06_15f2abb7.jpg;5;04.10.2023;08:52:00;;;;;;;
10.05.2023 10:37;Kachere;kachere;WhatsApp Image 2023-10-04 at 19.24.16_dad0f266.jpg;4;04.10.2023;17:00:00;;;;;;;
10.05.2023 10:43;Kachere;kachere;WhatsApp Image 2023-10-05 at 09.52.47_eec23256.jpg;5;05.10.2023;09:52:00;;;;;;;
10.05.2023 10:44;Ndirande;ndirande;WhatsApp Image 2023-10-05 at 09.59.17_e5cb5e47.jpg;0;05.10.2023;09:58:00;1;;;;;;
10.05.2023 10:45;Ndirande;ndirande;WhatsApp Image 2023-10-05 at 09.58.58_595e70ab.jpg;5;05.10.2023;09:59:00;2;;;;;;
10.07.2023 18:47;Manase;manase;WhatsApp Image 2023-10-06 at 09.44.06_c6b0320a.jpg;5;06.10.2023;09:44:00;;;;;;;
10.07.2023 18:48;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-05 at 11.59.44_3d19c680.jpg;4;05.10.2023;11:59:00;;;;;;;
10.07.2023 18:49;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-06 at 10.22.00_f0fe312a.jpg;5;06.10.2023;10:22:00;;;;;;;
10.07.2023 18:50;Ndirande;ndirande;WhatsApp Image 2023-10-06 at 14.00.03_eb98aa4c.jpg;Ambiguous/not overflowing;06.10.2023;14:00:00;1;;;;;;
10.07.2023 18:50;Ndirande;ndirande;WhatsApp Image 2023-10-06 at 14.00.03_435fd25c.jpg;Ambiguous/not overflowing;06.10.2023;14:00:00;2;;;;;;
10.07.2023 18:52;Nthukwa;nthukwa;WhatsApp Image 2023-10-06 at 05.40.26_d84b8c54.jpg;3;06.10.2023;05:40:00;;;;;;;
10.07.2023 18:52;Nthukwa;nthukwa;WhatsApp Image 2023-10-07 at 05.27.55_69d138be.jpg;Ambiguous/not overflowing;07.10.2023;05:27:00;;;;;;;
10.07.2023 18:53;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-05 at 12.39.44_91d1b311.jpg;5;05.10.2023;12:39:00;;;;;;;
10.07.2023 18:54;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-07 at 09.27.50_ab13e9a6.jpg;5;07.10.2023;09:27:00;;;;;;;
10.07.2023 18:55;Limbe flea market;limbe flea market;WhatsApp Image 2023-10-06 at 09.17.56_da68b480.jpg;5;06.10.2023;09:17:00;;;;;;;
10.07.2023 18:56;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-06 at 09.29.39_2d2c65b4.jpg;5;06.10.2023;09:29:00;1;;;;;;
10.07.2023 18:57;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-06 at 09.29.39_a5dea40e.jpg;5;06.10.2023;09:29:00;2;;;;;;
10.07.2023 18:57;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-10-06 at 09.35.10_3427e9fa.jpg;3;06.10.2023;09:35:00;;;;;;;
10.07.2023 18:58;ITG;ITG;WhatsApp Image 2023-10-06 at 09.55.54_840a43a0.jpg;Ambiguous/not overflowing;06.10.2023;09:55:00;1;;;;;;
10.07.2023 18:59;ITG;ITG;WhatsApp Image 2023-10-06 at 09.55.54_261a63c1.jpg;4;06.10.2023;09:55:00;2;;;;;;
